purchase_date,Income
6.03.2024,1.7536
6.04.2024,1.7536
6.05.2024,1.7552
6.06.2024,1.7536
6.07.2024,1.4616
6.08.2024,1.4616
6.09.2024,1.4616
6.10.2024,1.5984
6.11.2024,1.5984
6.12.2024,1.5984
6.13.2024,1.5984
6.14.2024,1.5984
6.15.2024,1.5984
6.16.2024,1.6392
6.17.2024,1.612
6.18.2024,1.6392
6.19.2024,1.6392
6.20.2024,1.612
6.21.2024,1.5984
6.22.2024,1.5984
6.23.2024,1.5984
6.24.2024,1.5984
6.25.2024,1.5984
6.26.2024,1.5984
6.27.2024,1.612
6.28.2024,0.7912
6.29.2024,1.5984
6.30.2024,1.5984
7.01.2024,1.612
7.02.2024,1.5712
7.03.2024,0.7912
7.04.2024,1.5984
7.05.2024,1.5984
7.06.2024,1.5984
7.07.2024,1.5984
7.08.2024,1.5984
7.09.2024,1.5984
7.10.2024,1.5984
7.11.2024,1.5984
7.12.2024,0.7912
7.13.2024,1.5984
7.14.2024,1.5984
7.15.2024,3.1968
7.16.2024,1.5984
7.17.2024,1.6392
7.18.2024,1.5984
7.19.2024,1.612
7.20.2024,1.6392
7.21.2024,1.6392
7.22.2024,1.5984
7.23.2024,1.6392
7.24.2024,1.6312
7.25.2024,-35.1630225
7.26.2024,-35.1630225
7.27.2024,-1.4612475
7.28.2024,1.5912
7.29.2024,1.8312
7.30.2024,0.7912
7.31.2024,1.8312
8.01.2024,1.8312
8.02.2024,1.8312
8.03.2024,1.5008
8.04.2024,1.7552
8.05.2024,1.7536
8.06.2024,1.916
8.07.2024,1.5984
8.08.2024,1.5984
8.09.2024,0.7912
8.10.2024,0.7912
8.11.2024,1.5984
8.12.2024,1.5984
8.13.2024,1.5984
8.14.2024,1.5984
8.15.2024,1.5984
8.16.2024,0.7912
8.17.2024,1.612
8.18.2024,1.5984
8.19.2024,1.612
8.20.2024,0.7912
8.21.2024,1.5984
8.22.2024,1.5984
8.23.2024,1.5984
8.24.2024,1.6392
8.25.2024,1.6392
8.26.2024,0.7912
8.27.2024,1.6392
8.28.2024,1.6392
8.29.2024,0.7912
8.30.2024,1.7192
8.31.2024,1.7192
9.01.2024,1.7192
9.02.2024,1.7192
9.03.2024,0.7912
9.04.2024,1.7192
9.05.2024,1.7192
9.06.2024,1.7192
9.07.2024,1.7192
9.08.2024,-35.37135
9.09.2024,1.7992
9.10.2024,1.7192
9.11.2024,1.7192
9.12.2024,1.5976
9.13.2024,1.5976
9.14.2024,0.7912
9.15.2024,1.596
9.16.2024,0.7912
9.17.2024,1.5912
9.18.2024,1.4392
9.19.2024,1.4392
9.20.2024,1.4392
9.21.2024,1.4392
9.22.2024,1.4392
9.23.2024,1.4392
9.24.2024,1.4392
9.25.2024,1.4792
9.26.2024,1.4792
9.27.2024,1.4792
9.28.2024,1.4792
