purchase_date,GELİR,
30/05/2024,#BAŞV!,10.96
30/05/2024,#BAŞV!,9.195
30/05/2024,#BAŞV!,6.025
29/05/2024,#BAŞV!,4.445
29/05/2024,#BAŞV!,4.745
28/05/2024,#BAŞV!,6.745
27/05/2024,#BAŞV!,8.945
27/05/2024,#BAŞV!,4.645
27/05/2024,#BAŞV!,6.745
27/05/2024,#BAŞV!,6.395
27/05/2024,#BAŞV!,4.89
25/05/2024,#BAŞV!,9.195
24/05/2024,#BAŞV!,4.745
23/05/2024,#BAŞV!,4.645
22/05/2024,#BAŞV!,5.745
22/05/2024,#BAŞV!,10.96
22/05/2024,#BAŞV!,4.645
22/05/2024,#BAŞV!,6.945
22/05/2024,#BAŞV!,11.945
21/05/2024,#BAŞV!,6.305
21/05/2024,#BAŞV!,6.445
20/05/2024,#BAŞV!,9.195
20/05/2024,#BAŞV!,6.745
19/05/2024,#BAŞV!,9.195
19/05/2024,#BAŞV!,11.945
19/05/2024,#BAŞV!,8.745
18/05/2024,#BAŞV!,4.635
17/05/2024,#BAŞV!,6.945
17/05/2024,#BAŞV!,4.695
17/05/2024,#BAŞV!,6.11
16/05/2024,#BAŞV!,22.98
16/05/2024,#BAŞV!,4.345
15/05/2024,#BAŞV!,4.645
15/05/2024,#BAŞV!,6.745
14/05/2024,#BAŞV!,6.745
14/05/2024,#BAŞV!,6.745
14/05/2024,#BAŞV!,6.745
13/05/2024,#BAŞV!,6.745
13/05/2024,#BAŞV!,6.745
12/05/2024,#BAŞV!,6.745
12/05/2024,#BAŞV!,6.745
12/05/2024,#BAŞV!,6.745
12/05/2024,#BAŞV!,6.745
12/05/2024,#BAŞV!,10.97
11/05/2024,#BAŞV!,7.565
11/05/2024,#BAŞV!,4.645
11/05/2024,#BAŞV!,6.945
10/05/2024,#BAŞV!,6.945
08/05/2024,#BAŞV!,7.565
07/05/2024,#BAŞV!,6.745
07/05/2024,#BAŞV!,4.445
07/05/2024,#BAŞV!,6.445
06/05/2024,#BAŞV!,9.195
06/05/2024,#BAŞV!,6.445
06/05/2024,#BAŞV!,4.645
05/05/2024,#BAŞV!,4.445
05/05/2024,#BAŞV!,4.645
05/05/2024,#BAŞV!,9.195
04/05/2024,#BAŞV!,10.96
04/05/2024,#BAŞV!,26.42
04/05/2024,#BAŞV!,9.195
03/05/2024,#BAŞV!,6.605
03/05/2024,#BAŞV!,9.135
03/05/2024,#BAŞV!,9.135
03/05/2024,#BAŞV!,6.605
02/05/2024,#BAŞV!,7.565
02/05/2024,#BAŞV!,7.87
02/05/2024,#BAŞV!,9.135
01/05/2024,#BAŞV!,7.87
01/05/2024,#BAŞV!,1.985
01/05/2024,#BAŞV!,2.445
01/05/2024,#BAŞV!,6.745
01/05/2024,#BAŞV!,1.985
01/05/2024,#BAŞV!,7.87
30/05/2024,#BAŞV!,1.895
30/05/2024,#BAŞV!,1.245
30/05/2024,#BAŞV!,2.145
30/05/2024,#BAŞV!,1.645
30/05/2024,#BAŞV!,3.26
30/05/2024,#BAŞV!,1.33
30/05/2024,#BAŞV!,1.245
29/05/2024,#BAŞV!,1.975
29/05/2024,#BAŞV!,2.445
29/05/2024,#BAŞV!,2.145
29/05/2024,#BAŞV!,2.445
28/05/2024,#BAŞV!,1.975
28/05/2024,#BAŞV!,2.345
28/05/2024,#BAŞV!,1.245
28/05/2024,#BAŞV!,1.975
28/05/2024,#BAŞV!,1.995
28/05/2024,#BAŞV!,1.975
28/05/2024,#BAŞV!,1.245
27/05/2024,#BAŞV!,2.145
27/05/2024,#BAŞV!,1.895
27/05/2024,#BAŞV!,2.425
27/05/2024,#BAŞV!,1.975
27/05/2024,#BAŞV!,1.245
27/05/2024,#BAŞV!,2.345
26/05/2024,#BAŞV!,10.945
26/05/2024,#BAŞV!,2.145
26/05/2024,#BAŞV!,1.975
26/05/2024,#BAŞV!,2.145
26/05/2024,#BAŞV!,1.975
